"id","名 称","名称カナ","所在地","電話","常勤薬剤師の人数","非常勤薬剤師の人数","常勤薬剤師数及び非常勤薬剤師数を常勤換算した数との合計数","前年の実施件数","前年（前年度）の患者数（延べ数）","前年の延件数","前年の実数"
"14115620","ひかり薬局","ヒカリヤッキョク","ヒラツカシハナミズダイ２９－８","0463-31-3883","2","3","3.3","15","12000","300","5"
"14115638","あおぞら調剤薬局","アオゾラチョウザイヤッキョク","ヒラツカシハナミズダイ２２－１０","0463-37-1320","2","0","2","0","11675","407","11"
"14115654","かもめ薬局平塚店","カモメヤッキョクヒラツカテン","ヒラツカシトクノブ","0463-37-2233","6","1","6.9","0","26557","9176","30"
"14115662","ひかり薬局徳延店","ヒカリヤッキョクトクノブテン","ヒラツカシトクノブ２２６－１","0463-34-8976","2","1","3","2","8000","420","45"
"14115670","さくら薬局平塚徳延店","サクラヤッキョクヒラツカトクノブテン","ヒラツカシトクノブ７４４－３","0463-37-5388","3","2","3.5","0","21369","54","0"
"14115689","コスモ薬局","コスモヤッキョク","ヒラツカシトクノブ　３５８－１","0463-35-5325","2","2","3","0","12597","0","0"
"14115719","ヒナタベル薬局","ヒナタベルヤッキョク","ヒラツカシヒナタオカ１－７－１２","0463-59-0569","1","4","2","1","8477","2","12"
"14115735","しろねこ薬局","シロネコヤッキョク","ヒラツカシ　マンダ　６８－２","0463-31-5820","1","2","1.5","0","9382","0","18"
"14115743","たるもと薬局大磯支店","タルモトヤッキョクオオイソシテン","ナカグンオオイソマチオオイソ４６８","0463-26-6434","2","0","2","0","8428","0","0"
"14115751","すずかぜ薬局","スズカゼヤッキョク","ナカグンオオイソマチオオイソ１１８７－１","0463-61-1894","1","0","1","0","10253","0","0"
"14115760","出口薬局","デグチヤッキョク","ナカグンオオイソマチオオイソ９５２","0463-61-0531","7","3","5.5","5","37840","40","55"
"14115778","たるもと薬局","タルモトヤッキョク","ナカグンオオイソマチオオイソ１６５４－８","0463-61-2284","2","2","2","3","15108","1","10"
"14115794","有限会社中栄堂薬局","ユウゲンガイシャチュウエイドウヤッキョク","ナカグンオオイソマチオオイソ１０７２","0463-61-0154","1","1","1.6","0","52","0","0"
"14115808","株式会社笹屋薬局","カブシキガイシャササヤヤッキョク","ナカグンオオイソマチヒガシコイソ１０－７","0463-61-0338","1","4","1.7","0","13106","0","0"
"14115824","すみれ調剤薬局大磯店","スミレチョウザイヤッキョクオオイソテン","ナカグンオオイソマチコクフシンシュク３９９－６","0463-70-6566","1","2","2.5","0","9941","36","0"
"14115832","ことぶきや薬局","コトブキヤヤッキョク","ナカグンオオイソマチコクフシンシュク１０５","0463-71-1150","3","1","3.5","1","2414","254","10"
"14115840","シオンドラッグ大磯国府薬局","シオンドラッグオオイソコクフヤッキョク","ナカグンオオイソマチガッキョウ３－２５","0463-72-5598","2","4","3.0","0","20109","14","75"
"14115859","望星大磯薬局","ボウセイオオイソヤッキョク","ナカグンオオイソマチガッキョウ３０－１８","0463-71-9341","11","3","11.6","14","56852","616","40"
"14115867","あすなろ薬局","アスナロヤッキョク","ナカグンニノミヤマチニノミヤ１４７－２","0463-71-0303","1","3","4","1","6731","0","10"
"14115875","有限会社中栄堂薬局二宮店","ユウゲンガイシャチュウエイドウヤッキョクニノミヤテン","ナカグンニノミヤマチニノミヤ１２８４－４","0463-73-1118","2","1","3","0","12780","0","0"
"14115905","有限会社健康企画さいとう薬局","ユウゲンガイシャケンコウキカクサイトウヤッキョク","ナカグンニノミヤマチニノミヤ８２３","0463-71-8962","2","6","3","4","9571","90","95"
"14115921","有限会社おのうえ薬局","ユウゲンガイシャオノウエヤッキョク","ナカグンニノミヤマチニノミヤ２３２","0463-72-2269","1","2","2.0","0","3750","0","0"
"14115930","おはな薬局","オハナヤッキョク","ナカグンニノミヤマチニノミヤ２０８","0463-71-7065","1","2","1.5","0","6482","0","3"
"14115948","たまご薬局","タマゴヤッキョク","ナカグンニノミヤマチニノミヤ１１３３","0463-71-7802","3","4","3.5","0","26597","0","10"
"14115964","ふたみ薬局","フタミ　ヤッキョク","ナカグン　ニノミヤマチ　カワワ　６－３","0465-43-2977","2","0","2","0","8524","0","0"
"14115980","アミー薬局","アミーヤッキョク","ナカグンニノミヤマチナカザト","0463-73-2913","0","3","1.6","1","6224","0","1"
"14115999","百合が丘調剤薬局","ユリガオカチョウザイヤッキョク","ナカグンニノミヤマチユリガオカ２－２－１","0463-71-3016","2","0","2","0","2414","0","0"
"14116006","二宮調剤・サンワ薬局","ニノミヤチョウザイ・サンワヤッキョク","ナカグンニノミヤマチユリガオカ３－１－６","0463-71-8273","2","0","2","0","4838","350","4"
"14116014","ファイン薬局","ファインヤッキョク","ナカグンニノミヤマチユリガオカ２－３－１","0463-70-1193","2","1","3.0","2","17510","0","3"
"14116022","あい薬局","アイヤッキョク","ナカグンニノミヤマチユリガオカ１－１－２","0463-73-0120","2","1","2","1","15821","0","15"
"14116049","かんの薬局","カンノヤッキョク","ヒラツカシミナミカナメ１０６０－９","0463-58-7508","1","4","2.3","0","14853","29","0"
"14116057","さくら薬局","サクラヤッキョク","ヒラツカシツチヤ１２８３－１","0463-59-5317","3","3","4","0","13700","1396","25"
"14116065","さくら薬局平塚岡崎店","サクラヤッキョク　ヒラツカオカザキテン","ヒラツカシオカザキ３５３４－１","0463-50-3140","1","3","1.3","0","8966","423","0"
"14116073","江南薬局","コウナンヤッキョク","ヒラツカシオカザキ４４１４－２","0463-58-1085","2","2","3","0","2633","16","3"
"14116081","おかざき薬局","オカザキヤッキョク","ヒラツカシオカザキ５９５０－３","0463-59-4110","1","0","1","0","7401","0","0"
"14116090","クリエイト薬局平塚入野店","クリエイトヤッキョクヒラツカイノテン","ヒラツカシイノ１４７－３","0463-37-3950","9","0","9","0","47226","42","8"
"14116103","すみれ薬局","スミレヤッキョク","ヒラツカシイノ２８７－６","0463-31-6699","3","0","3","0","12409","0","0"
"14116111","共創未来　犬坊ひまわり薬局","キョウソウミライ　イヌボウヒマワリヤッキョク","ヒラツカシ　イノ　１３９－１","0463-35-5539","1","3","2.4","0","12184","0","0"
"14116120","広川薬局","ヒロカワヤッキョク","ヒラツカシ　ヒロカワ　８４６－１","0463-50-2525","2","2","2.5","11","13333","23","0"
"14116146","シオン薬局中原店","シオンヤッキョクナカハラテン","ヒラツカシナカハラ２－２１－２０","0463-33-9393","1","6","2.4","0","8643","0","22"
"14116170","湘南薬品深沢薬局","ショウナンヤクヒンフカサワヤッキョク","カマクラシカジワラ１－５－１２－１０１","0467-46-0762","2","7","5.6","0","27500","0","5"
"14116200","内外薬局","ナイガイヤッキョク","カマクラシオナリチョウ１１－３８","0467-22-2430","2","3","2.6","0","20345","1","2"
"14116219","ソニア調剤薬局","ソニアチョウザイヤッキョク","カマクラシオナリマチ４－１６","0467-23-5959","2","4","4.0","0","15905","1419","12"
"14116227","鎌倉ファーマシー御成薬局","カマクラファーマシーオナリヤッキョク","カマクラシオナリマチ４－４０","0467-23-5675","1","4","5","0","5655","1","0"
"14116243","湘南薬品西カマクラ薬局","ショウナンヤクヒンニシカマクラヤッキョク","カマクラシコシゴエ１１７９","0467-31-6697","3","4","3.8","0","21400","0","0"
"14116251","高木薬局","タカギヤッキョク","カマクラシコシゴエ３－７－２１","0467-32-2892","1","1","2.0","0","0","0","0"
"14116294","材木座ファーマシー","ザイモクザファーマシー","カマクラシザイモクザ１－６－３６","0467-23-8916","2","3","3","1","9775","34","0"
"14116308","シーガル調剤薬局","シーガルチョウザイヤッキョク","カマクラシザイモクザ１－７－２５","0467-25-6660","4","2","4","20","11000","100","100"
"14116340","北鎌倉薬局","キタカマクラヤッキョク","カマクラシヤマノウチ１３３７－５","0467-61-4177","3","2","2.5","0","16121","0","0"
"14116359","共創未来　鎌倉山崎薬局","キョウソウミライ　カマクラヤマザキヤッキョク","カマクラシヤマザキ１１９５－１","0467-46-1205","0","5","2.3","2","11100","23","0"
"14116367","さくら薬局七里ガ浜店","サクラヤッキョクシチリガハマテン","カマクラシシチリガハマ２－２０－１８","0467-39-1326","1","2","1","0","12934","118","0"
"14116405","コスモ薬局北鎌倉店","コスモヤッキョクキタカマクラテン","カマクラシコブクロヤ２－２３－２","0467-43-7061","1","3","2","0","4458","0","0"
"14116413","つばさ薬局","ツバサヤッキョク","カマクラシコブクロヤ２－２－３７","0467-44-0182","4","11","4.0","10","30377","15","18"
"14116421","湘南カマクラ薬局","ショウナンカマクラヤッキョク","カマクラシコマチ１－３－７","0467-22-2271","1","1","1.5","0","5200","0","0"
"14116430","ハックドラッグ鎌倉薬局","ハックドラッグカマクラヤッキョク","カマクラシコマチ１－５－２１　１カイ","0467-60-1289","5","7","10.3","1","36811","267","35"
"14116448","共創未来鎌倉小町薬局","キョウソウミライカマクラコマチヤッキョク","カマクラシコマチ１－６－５　コマチダイニビル","0467-61-0420","4","0","4","0","18396","67","73"
"14116456","有限会社小町薬局駅前店","ユウゲンガイシャコマチヤッキョクエキマエテン","カマクラシコマチ１－９－３　シマモリビルニカイ","0467-22-7775","1","2","1.4","0","6000","0","0"
"14116464","鎌倉若竹薬局","カマクラワカタケ　ヤッキョク","カマクラシ　コマチ　２－１３－５","0467-23-6527","2","2","3","1","22613","1338","12"
"14116472","鎌倉調剤薬局","カマクラチョウザイヤッキョク","カマクラシコマチ２－１４－９","0467-24-5911","2","2","3","1","16076","198","11"
"14116499","有限会社清光堂薬局","ユウゲンガイシャセイコウドウヤッキョク","カマクラシトキワ６３８","0467-32-6566","1","0","1","0","2900","0","10"
"14116502","薬局湘南薬品ラポール西鎌倉","ヤッキョクショウナンヤクヒンラポールニシカマクラ","カマクラシニシカマクラ１－１９－１３","0467-32-4623","3","5","3.9","0","17100","0","0"
"14116529","有限会社大船漢方堂薬局","ユウゲンガイシャ　オオフナカンポウドウヤッキョク","カマクラシ　ダイ１－３－１０","0467-47-3311","2","1","2","0","360","0","10"
"14116545","クララ調剤薬局","クララチョウザイヤッキョク","カマクラシダイ５－２－３１","0467-44-1189","1","2","3.5","0","11374","30","10"
"14116553","共創未来　大船薬局","キョウソウミライ　オオフナヤッキョク","カマクラシオオフナ１－１４－１９","0467-45-8740","5","0","4","6","26081","20","13"
"14116561","すがファーマシー","スガファーマシー","カマクラシオオフナ１－２３－３１","0467-45-1414","4","3","6.3","0","36358","46","6"
"14116570","有限会社杉本薬局","ユウゲンガイシャスギモトヤッキョク","カマクラシオオフナ１－２５－３７","0467-46-2454","2","0","2.0","0","20","0","0"
"14116588","共創未来　大船一丁目薬局","キョウソウミライ　オオフナイッチョウメヤッキョク","カマクラシオオフナ１－２６－２７","0467-43-3550","3","2","3.9","0","25697","4","0"
"14116596","共創未来大船笠間口薬局","キョウソウミライオオフナカサマクチヤッキョク","カマクラシオオフナ１－２７－２８　エスティケイビル１０１ゴウ","0467-42-6838","1","1","1.7","0","9796","9","1"
"14116618","薬樹薬局　北山","ヤクジュヤッキョク　キタヤマ","カマクラシオオフナ２－１７－２３　マスダビル１Ｆ","0467-46-4410","2","5","4.4","1","21046","448","13"
"14116634","株式会社岩瀬薬局","カブシキガイシャ　イワセ　ヤッキョク","カマクラシオオフナ２－２６－１２","0467-44-6651","1","0","0","0","1702","0","0"
"14116650","比留川薬局","ヒルカワヤッキョク","カマクラシオオマチ２－２－９","0467-22-2106","2","0","2","0","37","0","0"
"14116677","すばる中央薬局大町店","スバルチュウオウヤッキョクオオマチテン","カマクラシオオマチ４－３－２２","0467-23-6100","3","18","3.2","0","12243","1263","8"
"14116685","有限会社吉野十全堂薬局","ユウゲンガイシャ　ヨシノジュウゼンドウヤッキョク","カマクラシハセ１－２－４","0467-22-2184","2","2","2.5","2","3142","106","5"
"14116693","有限会社　早川薬局","ユウゲンガイシャ　ハヤカワヤッキョク","カマクラシ　ハセ２－１５－２０","0467-22-0010","2","0","2","0","4910","0","0"
"14116707","すみれ中央薬局鎌倉店","スミレチュウオウヤッキョクカマクラテン","カマクラシ","0467-32-6080","5","18","6.5","0","30089","223","16"
"14116731","たちばな薬局向原店","タチバナヤッキョクムカイバラテン","カナガワケンミウラグンハヤママチホリウチ１８１８","046-876-3920","2","1","2","8","13500","480","48"
"14116740","株式会社橘薬局","カブシキガイシャタチバナヤッキョク","ミウラグンハヤママチホリウチ９３６","046-875-0039","2","2","3","2","13300","2200","10"
"14116758","ひまわり薬局","ヒマワリヤッキョク","ズシシヒサギ１－３－２１","046-872-6077","1","1","1.0","0","5522","0","5"
"14116766","逗子調剤薬局","ズシチョウザイヤッキョク","ズシシヒサギ４－１４－４","046-871-2867","2","2","2","0","11340","0","0"
"14116774","有限会社白十字薬局ハイランド店","ユウゲンガイシャハクジュウジヤッキョクハイランドテン","ズシシヒサギ８－１３－１７","046-871-3560","2","12","3.0","0","21632","11","11"
"14116782","ケンコー薬局桜山店","ケンコーヤッキョクサクラヤマテン","ズシシサクラヤマ２－１０－１３","046-872-5511","1","3","2.2","0","18213","1","43"
"14116804","ひまわり薬局桜山店","ヒマワリヤッキョクサクラヤマテン","ズシシサクラヤマ８－５－２５　フィルコートサクラヤマ","046-871-1358","1","4","1.1","0","7673","25","2"
"14116820","そうごう薬局逗子小坪店","ソウゴウヤッキョクズシコツボテン","ズシシコツボ２－３－２","0467-23-6871","1","3","2.5","18","8701","100","87"
"14116839","有限会社ひかり薬局","ユウゲンガイシャヒカリヤッキョク","ズシシヌママ１－４－５１","046-870-6511","2","1","2.5","0","23989","0","20"
"14116855","かもめ薬局","カモメヤッキョク","ズシシヌママ２－１１－５","046-873-6336","2","4","2.6","0","3249","0","0"
"14116871","湘南薬品逗子薬局","ショウナンヤクヒンズシヤッキョク","ズシシズシ１－２－１８－１０１","046-870-5851","2","4","4.0","0","20700","0","0"
"14116898","オリーブ堂ファーマシー","オリーブドウファーマシー","ズシシズシ１－９－３８","046-873-2118","1","4","2.4","0","16694","0","0"
"14116910","有限会社白十字薬局水道路店","ユウゲンガイシャハクジュウジヤッキョクスイドウミチテン","ズシシズシ２－５－２５－１０１","046-873-0288","1","8","3.0","0","24831","2","9"
"14116928","あさひ中央薬局逗子駅前店","アサヒチュウオウヤッキョクズシエキマエテン","ズシシズシ４－１－７","046-870-3188","1","4","2.7","0","13995","260","0"
"14116936","ケンコー薬局","ケンコーヤッキョク","ズシシズシ４－３－２０","046-873-7440","1","1","1.3","0","4763","0","0"
"14116944","ハックドラッグ逗子葉山駅前薬局","ハックドラッグズシハヤマエキマエヤッキョク","ズシシズシ５－１－６","046-870-6930","3","3","4.5","0","21000","210","18"
"14116995","ソフィア薬局逗子店","ソフィアヤッキョクズシテン","ズシシズシ７－６－２９","046-870-6050","1","1","1.6","1","1592","35","50"
"14117002","チバ薬局","チバヤッキョク","カマクラシジョウミョウジ３－７－４３","0467-22-4380","1","2","1.4","0","1886","183","0"
"14117010","グリーン薬局大船中央店","グリーンヤッキョクオオフナチュウオウテン","カマクラシオオフナ２－１４－２１","0467-46-2030","2","2","3.9","20","8493","2278","16"
"14117029","開成堂石渡薬局支店","カイセイドウイシワタヤッキョクシテン","ズシシズシ５－７－２９","046-871-2213","3","4","3","0","18000","150","0"
"14117037","東逗子薬局","ヒガシズシヤッキョク","ズシシヌママ１－２－２２","046-870-3110","1","1","2.0","0","0","0","0"
"14117045","アプリ薬局大船店","アプリヤッキョク　オオフナテン","カマクラシオオフナ２－２６－２２","0467-47-6939","3","17","11.5","0","79790","408","14"
"14117053","セキファーマシー","セキファーマシー","カマクラシタマナワ１－５－１","0467-48-3395","1","2","1.5","0","6600","0","20"
"14117070","さくら薬局西鎌倉駅前店","サクラヤッキョクニシカマクラエキマエテン","カマクラシ　ニシカマクラ１－１９－１７","0467-31-1919","2","2","3.3","0","13000","0","0"
"14117088","タカノ薬局鎌倉店","タカノヤッキョクカマクラテン","カマクラシフエダ４－２５－２－Ａ","0467-38-1180","3","6","4.5","0","1181","6118","3"
"14117096","すばる中央薬局大船店","スバルチュウオウヤッキョクオオフナテン","カマクラシオオフナ４－１８－６　ミヤヂビル１Ａ","0467-48-5855","7","15","7.7","0","14896","6179","14"
"14117100","ココカラファイン薬局逗子店","ココカラファインヤッキョク　ズシテン","ズシシズシ１－８－６　ズシブンジョウキョウドウビル１カイ","046-870-6673","1","4","4.5","0","29400","100","15"
"14117118","にしかま薬局","ニシカマヤッキョク","カマクラシニシカマクラ１－２－３","0467-38-1240","1","3","2.5","0","9000","24","0"
"14117126","共創未来　玉縄薬局","キョウソウミライ　タマナワヤッキョク","カマクラシタマナワ１－１－２９","0467-48-6652","2","1","2.5","0","14500","45","0"
"14117134","すばる中央薬局腰越店","スバルチュウオウヤッキョクコシゴエテン","カマクラシコシゴエ４－８－１","0467-38-1601","2","13","2.8","2","10501","104","9"
"14117150","鎌倉ダルマ薬局","カマクラダルマヤッキョク","カマクラシコマチ１－６－３","0467-25-3879","1","6","3.9","0","8231","0","6"
"14117169","開成堂石渡薬局本店","カイセイドウイシワタヤッキョクホンテン","ズシシズシ２－６－２３","046-871-7171","3","5","4.5","0","20000","50","0"
"14117207","鎌倉調剤センター薬局","カマクラチョウザイセンターヤッキョク","カマクラシオオフナ２－１７－８　ナカジマビル１Ｆ","0467-40-2189","6","2","5.5","0","32369","766","12"
"14117215","クローバー薬局","クローバーヤッキョク","ズシシズシ２－６－１３","046-872-9682","1","5","2","10","11400","0","6"
"14117223","テル薬局","テルヤッキョク","カマクラシユイガハマ３－１１－４１","0467-61-1232","1","2","2","0","11365","84","12"
"14117231","マンボウ薬局七里ガ浜店","マンボウヤッキョクシチリガハマテン","カマクラシシチリガハマヒガシ３－１－１０","0467-62-1530","2","2","2.5","0","11768","37","37"
"14117258","マリン薬局梶原店","マリンヤッキョクカジワラテン","カマクラシカジワラ３－１２－５","0467-38-3088","2","2","2.4","0","10075","0","0"
